serial,province,provinceID,district,districtID,pro_districtID,village,villageID,dis_villageID
36,Lạng Sơn,209,Quận Kiến An,10307,103,Phường Hàng Bông,1010527,10105
37,Lào Cai,205,Quận Đồ Sơn,10309,103,Phường Đồng Xuân,1010529,10105
38,Long An,801,Huyện Thuỷ Nguyên,10311,103,Phường Cửa Đông,1010531,10105
39,Nam Định,113,Huyện An Dương,10313,103,Phường Hàng Gai,1010533,10105
40,Nghệ An,403,Huyện An Lão,10315,103,Phường Tràng Tiền,1010535,10105
41,Ninh Bình,117,Huyện Kiến Thụy,10317,103,Phường Giang Biên,1010601,10106
42,Ninh Thuận,705,Huyện Tiên Lãng,10319,103,Phường Đức Giang,1010603,10106
43,Phú Thọ,217,Huyện Vĩnh Bảo,10321,103,Phường Việt Hưng,1010605,10106
44,Phú Yên,509,Huyện Cát Hải,10323,103,Phường Gia Thuỵ,1010607,10106
45,Quảng Bình,407,Huyện Bạch Long Vĩ,10325,103,Phường Phúc Lợi,1010609,10106
46,Quảng Nam,503,Quận Dương Kinh,10327,103,Phường Bồ Đề,1010611,10106
47,Quảng Ngãi,505,Thành phố Hải Dương,10701,107,Phường Sài Đồng,1010613,10106
48,Quảng Ninh,225,Thành phố Chí Linh,10703,107,Phường Thạch Bàn,1010615,10106
49,Quảng Trị,409,Huyện Nam Sách,10705,107,Phường Phúc Đồng,1010617,10106
50,Sóc Trăng,819,Huyện Thanh Hà,10707,107,Phường Cự Khối,1010619,10106
51,Sơn La,303,Thị xã Kinh Môn,10709,107,Phường Thượng Thanh,1010621,10106
52,Tây Ninh,709,Huyện Kim Thành,10711,107,Phường Ngọc Thuỵ,1010623,10106
53,Thái Bình,115,Huyện Gia Lộc,10713,107,Phường Ngọc Lâm,1010625,10106
54,Thái Nguyên,215,Huyện Tứ Kỳ,10715,107,Phường Long Biên,1010627,10106
55,Thanh Hoá,401,Huyện Cẩm Giàng,10717,107,Phường Lê Đại Hành,1010701,10107
56,Thừa Thiên Huế,411,Huyện Bình Giang,10719,107,Phường Đồng Nhân,1010703,10107
57,Tiền Giang,807,Huyện Thanh Miện,10721,107,Phường Đống Mác,1010705,10107
58,Hồ Chí Minh,701,Huyện Ninh Giang,10723,107,Phường Thanh Lương,1010707,10107
59,Trà Vinh,817,Thành phố Hưng yên,10901,109,Phường Thanh Nhàn,1010709,10107
60,Tuyên Quang,211,Thị xã Mỹ Hào,10903,109,Phường Cầu Dền,1010711,10107
61,Vĩnh Long,809,Huyện Khoái Châu,10905,109,Phường Bách Khoa,1010713,10107
62,Vĩnh Phúc,219,Huyện Ân Thi,10907,109,Phường Đồng Tâm,1010715,10107
63,Yên Bái,213,Huyện Kim Động,10909,109,Phường Vĩnh Tuy,1010717,10107
,,,Huyện Phù Cừ,10911,109,Phường Bạch Mai,1010719,10107
,,,Huyện Tiên Lữ,10913,109,Phường Quỳnh Lôi,1010721,10107
,,,Huyện Văn Giang,10915,109,Phường Trương Định,1010723,10107
,,,Huyện Văn Lâm,10917,109,Phường Ngô Thì Nhậm,1010725,10107
,,,Huyện Yên Mỹ,10919,109,Phường Bạch Đằng,1010727,10107
,,,Thành phố Phủ Lý,11101,111,Phường Phạm Đình Hổ,1010729,10107
,,,Thị xã Duy Tiên,11103,111,Phường Bùi Thị Xuân,1010731,10107
,,,Huyện Kim Bảng,11105,111,Phường Phố Huế,1010733,10107
,,,Huyện Lý Nhân,11107,111,Phường Minh Khai,1010735,10107
,,,Huyện Thanh Liêm,11109,111,Phường Quỳnh Mai,1010737,10107
,,,Huyện Bình Lục,11111,111,Phường Nguyễn Du,1010739,10107
,,,Thành phố Nam Định,11301,113,Phường Vĩnh Hưng,1010801,10108
,,,Huyện Vụ Bản,11303,113,Phường Định Công,1010803,10108
,,,Huyện Mỹ Lộc,11305,113,Phường Mai Động,1010805,10108
,,,Huyện Ý Yên,11307,113,Phường Tương Mai,1010807,10108
,,,Huyện Nam Trực,11309,113,Phường Tân Mai,1010809,10108
,,,Huyện Trực Ninh,11311,113,Phường Hoàng Văn Thụ,1010811,10108
,,,Huyện Xuân Trường,11313,113,Phường Giáp Bát,1010813,10108
,,,Huyện Giao Thuỷ,11315,113,Phường Thịnh Liệt,1010815,10108
,,,Huyện Nghĩa Hưng,11317,113,Phường Hoàng Liệt,1010817,10108
,,,Huyện Hải Hậu,11319,113,Phường Trần Phú,1010819,10108
,,,Thành phố Thái Bình,11501,115,Phường Thanh Trì,1010821,10108
,,,Huyện Quỳnh Phụ,11503,115,Phường Đại Kim,1010823,10108
,,,Huyện Hưng Hà,11505,115,Phường Lĩnh Nam,1010825,10108
,,,Huyện Thái Thụy,11507,115,Phường Yên Sở,1010827,10108
,,,Huyện Đông Hưng,11509,115,Phường Cát Linh,1010901,10109
,,,Huyện Vũ Thư,11511,115,Phường Văn Miếu,1010903,10109
,,,Huyện Kiến Xương,11513,115,Phường Láng Thượng,1010905,10109
,,,Huyện Tiền Hải,11515,115,Phường ô Chợ Dừa,1010907,10109
,,,Thành phố Ninh Bình,11701,117,Phường Hàng Bột,1010909,10109
,,,Thành phố Tam Điệp,11703,117,Phường Khâm Thiên,1010911,10109
,,,Huyện Nho quan,11705,117,Phường Thổ Quan,1010913,10109
,,,Huyện Gia Viễn,11707,117,Phường Nam Đồng,1010915,10109
,,,Huyện Hoa Lư,11709,117,Phường Quang Trung,1010917,10109
,,,Huyện Yên Mô,11711,117,Phường Trung Liệt,1010919,10109
,,,Huyện Yên Khánh,11713,117,Phường Phương Liên,1010921,10109
,,,Huyện Kim Sơn,11715,117,Phường Thịnh Quang,1010923,10109
,,,Thành phố Hà Giang,20101,201,Phường Kim Liên,1010925,10109
,,,Huyện Đồng Văn,20103,201,Phường Ngã Tư Sở,1010927,10109
,,,Huyện Mèo Vạc,20105,201,Phường Khương Thượng,1010929,10109
,,,Huyện Yên Minh,20107,201,Phường Văn Chương,1010931,10109
,,,Huyện Quản Bạ,20109,201,Phường Phương Mai,1010933,10109
,,,Huyện Bắc Mê,20111,201,Phường Quốc Tử Giám,1010935,10109
,,,Huyện Hoàng Su Phì,20113,201,Phường Láng Hạ,1010937,10109
,,,Huyện Vị Xuyên,20115,201,Phường Trung Phụng,1010939,10109
,,,Huyện Xín Mần,20117,201,Phường Trung Tự,1010941,10109
,,,Huyện Quang Bình,20118,201,Phường Nhân Chính,1011101,10111
,,,Huyện Bắc Quang,20119,201,Phường Thượng Đình,1011103,10111
,,,Thành phố Cao Bằng,20301,203,Phường Khương Trung,1011105,10111
,,,Huyện Bảo Lạc,20303,203,Phường Thanh Xuân Trung,1011107,10111
,,,Huyện Hà Quảng,20305,203,Phường Phương Liệt,1011109,10111
,,,Huyện Thông Nông,20307,203,Phường Hạ Đình,1011111,10111
,,,Huyện Trà Lĩnh,20309,203,Phường Khương Đình,1011113,10111
,,,Huyện Trùng Khánh,20311,203,Phường Kim Giang,1011115,10111
,,,Huyện Nguyên Bình,20313,203,Phường Thanh Xuân Nam,1011117,10111
,,,Huyện Hoà An,20315,203,Phường Khương Mai,1011119,10111
,,,Huyện Quảng Hòa,20317,203,Phường Thanh Xuân Bắc,1011121,10111
,,,Huyện Phục Hoà,20318,203,Phường Mai Dịch,1011301,10113
,,,Huyện Hạ Lang,20319,203,Phường Dịch Vọng,1011303,10113
,,,Huyện Thạch An,20321,203,Phường Dịch Vọng Hậu,1011305,10113
,,,Huyện Bảo Lâm,20323,203,Phường Quan Hoa,1011307,10113
,,,Thành phố Lào Cai,20501,205,Phường Trung Hoà,1011309,10113
,,,Huyện Mường Khương,20505,205,Phường Nghĩa Đô,1011311,10113
,,,Huyện Bát Xát,20507,205,Phường Nghĩa Tân,1011313,10113
,,,Huyện Bắc Hà,20509,205,Phường Yên Hoà,1011315,10113
,,,Huyện Bảo Thắng,20511,205,Thị trấn Sóc Sơn,1011501,10115
,,,Thị xã Sa Pa,20513,205,Xã Bắc Sơn,1011503,10115
,,,Huyện Bảo Yên,20515,205,Xã Hồng Kỳ,1011505,10115
,,,Huyện Văn Bàn,20519,205,Xã Nam Sơn,1011507,10115
,,,Huyện Si Ma Cai,20521,205,Xã Trung Giã,1011509,10115
,,,Thành phố Bắc Kạn,20701,207,Xã Minh Phú,1011511,10115
,,,Huyện Ba Bể,20703,207,Xã Phù Linh,1011513,10115
,,,Huyện Pác Nặm,20704,207,Xã Bắc Phú,1011515,10115
,,,Huyện Ngân Sơn,20705,207,Xã Quang Tiến,1011517,10115
,,,Huyện Chợ Đồn,20707,207,Xã Hiền Ninh,1011519,10115
,,,Huyện Na Rì,20709,207,Xã Việt Long,1011521,10115
,,,Huyện Bạch Thông,20711,207,Xã Xuân Giang,1011523,10115
,,,Huyện Chợ Mới,20713,207,Xã Mai Đình,1011525,10115
,,,Thành phố Lạng Sơn,20901,209,Xã Thanh Xuân,1011527,10115
,,,Huyện Tràng Định,20903,209,Xã Đông Xuân,1011529,10115
,,,Huyện Văn Lãng,20905,209,Xã Kim Lũ,1011531,10115
,,,Huyện Bình Gia,20907,209,Xã Phú Minh,1011533,10115
,,,Huyện Bắc Sơn,20909,209,Xã Xuân Thu,1011535,10115
,,,Huyện Văn Quan,20911,209,Xã Tân Dân,1011537,10115
,,,Huyện Cao Lộc,20913,209,Xã Phù Lỗ,1011539,10115
,,,Huyện Lộc Bình,20915,209,Xã Minh Trí,1011541,10115
,,,Huyện Chi Lăng,20917,209,Xã Tân Hưng,1011543,10115
,,,Huyện Đình Lập,20919,209,Xã Tân Minh,1011545,10115
,,,Huyện Hữu Lũng,20921,209,Xã Tiên Dược,1011547,10115
,,,Thành Phố Tuyên Quang,21101,211,Xã Đức Hoà,1011549,10115
,,,Huyện Na Hang,21103,211,Xã Phú Cường,1011551,10115
,,,Huyện Chiêm Hoá,21105,211,Xã Xuân Nộn,1011701,10117
,,,Huyện Hàm Yên,21107,211,Xã Thuỵ Lâm,1011703,10117
,,,Huyện Yên Sơn,21109,211,Xã Bắc Hồng,1011705,10117
,,,Huyện Sơn Dương,21111,211,Xã Nam Hồng,1011707,10117
,,,Huyện Lâm Bình,21113,211,Xã Tiên Dương,1011709,10117
,,,Thành phố Yên Bái,21301,213,Xã Vân Hà,1011711,10117
,,,Thị xã Nghĩa Lộ,21303,213,Xã Liên Hà,1011713,10117
,,,Huyện Lục Yên,21305,213,Xã Việt Hùng,1011715,10117
,,,Huyện Văn Yên,21307,213,Xã Kim Chung,1011717,10117
,,,Huyện Mù Cang Chải,21309,213,Xã Dục Tú,1011719,10117
,,,Huyện Trấn Yên,21311,213,Xã Vĩnh Ngọc,1011721,10117
,,,Huyện Yên Bình,21313,213,Xã Cổ Loa,1011723,10117
,,,Huyện Văn Chấn,21315,213,Xã Hải Bối,1011725,10117
,,,Huyện Trạm Tấu,21317,213,Xã Võng La,1011727,10117
,,,Thành phố Thái Nguyên,21501,215,Xã Mai Lâm,1011729,10117
,,,Thành Phố Sông Công,21503,215,Xã Vân Nội,1011731,10117
,,,Huyện Định Hoá,21505,215,Xã Tàm Xá,1011733,10117
,,,Huyện Võ Nhai,21507,215,Thị trấn Đông Anh,1011735,10117
,,,Huyện Phú Lương,21509,215,Xã Nguyên Khê,1011737,10117
,,,Huyện Đồng Hỷ,21511,215,Xã Uy Nỗ,1011739,10117
,,,Huyện Đại Từ,21513,215,Xã Kim Nỗ,1011741,10117
,,,Huyện Phú Bình,21515,215,Xã Đại Mạch,1011743,10117
,,,Thị Xã Phổ Yên,21517,215,Xã Xuân Canh,1011745,10117
,,,Thành phố Việt Trì,21701,217,Xã Đông Hội,1011747,10117
,,,Thị xã Phú Thọ,21703,217,Xã Kiêu Kỵ,1011901,10119
,,,Huyện Đoan Hùng,21705,217,Xã Bát Tràng,1011903,10119
,,,Huyện Hạ Hoà,21707,217,Xã Kim Lan,1011905,10119
,,,Huyện Thanh Ba,21709,217,Xã Văn Đức,1011907,10119
,,,Huyện Phù Ninh,21711,217,Xã Đa Tốn,1011909,10119
,,,Huyện Cẩm Khê,21713,217,Thị trấn Yên Viên,1011911,10119
,,,Huyện Yên Lập,21715,217,Xã Yên Thường,1011913,10119
,,,Huyện Tam Nông,21717,217,Xã Yên Viên,1011915,10119
,,,Huyện Thanh Sơn,21719,217,Xã Đình Xuyên,1011917,10119
,,,Huyện Tân Sơn,21720,217,Xã Dương Hà,1011919,10119
,,,Huyện Lâm Thao,21721,217,Xã Phù Đổng,1011921,10119
,,,Huyện Thanh Thuỷ,21723,217,Xã Cổ Bi,1011923,10119
,,,Thành phố Vĩnh Yên,21901,219,Xã Đặng Xá,1011925,10119
,,,Thị xã Phúc Yên,21902,219,Xã Kim Sơn,1011927,10119
,,,Huyện Lập Thạch,21903,219,Thị trấn Trâu Quỳ,1011929,10119
,,,Huyện Tam Đảo,21904,219,Xã Dương Quang,1011931,10119
,,,Huyện Tam Dương,21905,219,Xã Đông Dư,1011933,10119
,,,Huyện Vĩnh Tường,21907,219,Xã Lệ Chi,1011935,10119
,,,Huyện Yên Lạc,21909,219,Xã Ninh Hiệp,1011937,10119
,,,Huyện Bình Xuyên,21913,219,Xã Trung Mầu,1011939,10119
,,,Huyện Sông Lô,21915,219,Xã Phú Thị,1011941,10119
,,,Thành phố  Bắc Giang,22101,221,Xã Dương Xá,1011943,10119
,,,Huyện Yên Thế,22103,221,Thị trấn Cầu Diễn,1012101,10121
,,,Huyện Tân Yên,22105,221,Xã Thượng Cát,1012103,10121
,,,Huyện Lục Ngạn,22107,221,Xã Thuỵ Phương,1012105,10121
,,,Huyện Hiệp Hoà,22109,221,Xã Tây Tựu,1012107,10121
,,,Huyện Lạng Giang,22111,221,Xã Xuân Đỉnh,1012109,10121
,,,Huyện Sơn Động,22113,221,Xã Cổ Nhuế,1012111,10121
,,,Huyện Lục Nam,22115,221,Xã Phú Diễn,1012113,10121
,,,Huyện Việt Yên,22117,221,Xã Xuân Phương,1012115,10121
,,,Huyện Yên Dũng,22119,221,Xã Tây Mỗ,1012117,10121
,,,Thành phố Bắc Ninh,22301,223,Xã Mễ Trì,1012119,10121
,,,Huyện Yên Phong,22303,223,Xã Liên Mạc,1012121,10121
,,,Huyện Quế Võ,22305,223,Xã Đại Mỗ,1012123,10121
,,,Huyện Tiên Du,22307,223,Xã Đông Ngạc,1012125,10121
,,,Huyện Thuận Thành,22309,223,Xã Minh Khai,1012127,10121
,,,Huyện Lương Tài,22311,223,Xã Mỹ Đình,1012129,10121
,,,Thị xã Từ Sơn,22313,223,Xã Trung Văn,1012131,10121
,,,Huyện Gia Bình,22315,223,Thị trấn Văn Điển,1012301,10123
,,,Thành phố Hạ Long,22501,225,Xã Tân Triều,1012303,10123
,,,Thành phố Cẩm Phả,22503,225,Xã Thanh Liệt,1012305,10123
,,,Thành phố Uông Bí,22505,225,Xã Hữu Hoà,1012307,10123
,,,Huyện Bình Liêu,22507,225,Xã Tam Hiệp,1012309,10123
,,,Thành phố Móng cái,22509,225,Xã Tứ Hiệp,1012311,10123
,,,Huyện Hải Hà,22511,225,Xã Vĩnh Quỳnh,1012313,10123
,,,Huyện Tiên Yên,22513,225,Xã Duyên Hà,1012315,10123
,,,Huyện Ba Chẽ,22515,225,Xã Vạn Phúc,1012317,10123
,,,Huyện Vân Đồn,22517,225,Xã Đại áng,1012319,10123
,,,Huyện Hoành Bồ,22519,225,Xã Liên Ninh,1012321,10123
,,,Thị xã Đông Triều,22521,225,Xã Ngũ Hiệp,1012323,10123
,,,Huyện Cô Tô,22523,225,Xã Tả Thanh Oai,1012325,10123
,,,Thị xã Quảng Yên,22525,225,Xã Yên Mỹ,1012327,10123
,,,Huyện Đầm Hà,22527,225,Xã Ngọc Hồi,1012329,10123
,,,Thành phố Điện Biên Phủ,30101,301,Xã Đông Mỹ,1012331,10123
,,,Thị xã Mường Lay,30103,301,Xã Đại Thịnh,1012501,10125
,,,Huyện Mường Nhé,30104,301,Xã Kim Hoa,1012503,10125
,,,Huyện Mường Chà,30111,301,Xã Thạch Đà,1012505,10125
,,,Huyện Tủa Chùa,30113,301,Xã Tự Lập,1012507,10125
,,,Huyện Tuần Giáo,30115,301,Xã Thanh Lâm,1012509,10125
,,,Huyện Điện Biên,30117,301,Xã Liên Mạc ,1012511,10125
,,,Huyện Điện Biên Đông,30119,301,Xã Vạn Yên,1012513,10125
,,,Huyện Mường ảng,30121,301,Xã Chu Phan,1012515,10125
,,,Huyện Nậm Pồ,30123,301,Xã Mê Linh,1012517,10125
,,,Huyện Mường Tè,30201,302,Xã Văn Khê,1012519,10125
,,,Thành phố Lai Châu,30202,302,Xã Hoàng Kim,1012521,10125
,,,Huyện Phong Thổ,30203,302,Xã Tráng Việt,1012523,10125
,,,Huyện Tam Đường,30205,302,Thị trấn Quang Minh,1012525,10125
,,,Huyện Sìn Hồ,30207,302,Xã Tiến Thắng,1012527,10125
,,,Huyện Than Uyên,30209,302,Xã Tam Đồng,1012529,10125
,,,Huyện Tân Uyên,30211,302,Xã Tiến Thịnh,1012531,10125
,,,Huyện Nậm Nhùn,30213,302,Xã Tiền Phong,1012533,10125
,,,Thành phố Sơn La,30301,303,Thị trấn Chi Đông,1012535,10125
,,,Huyện Quỳnh Nhai,30303,303,Phường Nguyễn Trãi,1012701,10127
,,,Huyện Mường La,30305,303,Phường Mộ Lao,1012703,10127
,,,Huyện Thuận Châu,30307,303,Phường Văn Quán,1012704,10127
,,,Huyện Bắc Yên,30309,303,Phường Vạn Phúc,1012705,10127
,,,Huyện Phù Yên,30311,303,Phường Quang Trung ,1012707,10127
,,,Huyện Mai Sơn,30313,303,Phường Phúc La,1012709,10127
,,,Huyện Sông Mã,30315,303,Phường Hà Cầu,1012711,10127
,,,Huyện Yên Châu,30317,303,Phường Yên Nghĩa,1012713,10127
,,,Huyện Mộc Châu,30319,303,Phường Kiến Hưng,1012715,10127
,,,Huyện Sốp Cộp,30321,303,Phường Phú Lãm,1012717,10127
,,,Huyện Vân Hồ,30323,303,Phường Dương Nội,1012719,10127
,,,Thành phố Hoà Bình,30501,305,Phường Đồng Mai,1012721,10127
,,,Huyện Đà Bắc,30503,305,Phường Biên Giang,1012723,10127
,,,Huyện Mai Châu,30505,305,Phường Phú Lương,1012725,10127
,,,Huyện Kỳ Sơn,30507,305,Phường Phú La,1012727,10127
,,,Huyện Lương Sơn,30509,305,Phường La Khê,1012728,10127
,,,Huyện Cao Phong,30510,305,Phường Yết Kiêu,1012729,10127
,,,Huyện Kim Bôi,30511,305,Phường Phú Thịnh,1012901,10129
,,,Huyện Tân Lạc,30513,305,Phường Quang Trung  ,1012903,10129
,,,Huyện Lạc Sơn,30515,305,Phường Sơn Lộc,1012905,10129
,,,Huyện Lạc Thuỷ,30517,305,Phường Xuân Khanh,1012907,10129
,,,Huyện Yên Thuỷ,30519,305,Xã Đường Lâm,1012909,10129
,,,Thành phố Thanh Hoá,40101,401,Xã Xuân Sơn,1012911,10129
,,,Thị xã Bỉm Sơn,40103,401,Phường Trung Hưng,1012913,10129
,,,Thành phố Sầm Sơn,40105,401,Xã Thanh Mỹ,1012915,10129
,,,Huyện Mường Lát,40107,401,Xã Kim Sơn ,1012917,10129
,,,Huyện Quan Hoá,40109,401,Xã Sơn Đông,1012919,10129
,,,Huyện Quan Sơn,40111,401,Xã Cổ Đông,1012921,10129
,,,Huyện Bá Thước,40113,401,Phường Lê Lợi,1012923,10129
,,,Huyện Cẩm Thuỷ,40115,401,Phường Ngô Quyền,1012925,10129
,,,Huyện Lang Chánh,40117,401,Phường Viên Sơn,1012927,10129
,,,Huyện Thạch Thành,40119,401,Phường Trung Sơn Trầm,1012929,10129
,,,Huyện Ngọc Lặc,40121,401,Xã Vân Hà ,1013101,10131
,,,Huyện Thường Xuân,40123,401,Xã Vân Phúc,1013103,10131
,,,Huyện Như Xuân,40125,401,Xã Vân Nam,1013105,10131
,,,Huyện Như Thanh,40127,401,Xã Xuân Phú,1013107,10131
,,,Huyện Vĩnh Lộc,40129,401,Xã Sen Chiểu,1013109,10131
,,,Huyện Hà Trung,40131,401,Xã Cẩm Đình,1013111,10131
,,,Huyện Nga Sơn,40133,401,Xã Võng Xuyên,1013113,10131
,,,Huyện Yên Định,40135,401,Xã Long Xuyên,1013115,10131
,,,Huyện Thọ Xuân,40137,401,Xã Thượng Cốc,1013117,10131
,,,Huyện Hậu Lộc,40139,401,Xã Thanh Đa,1013119,10131
,,,Huyện Thiệu Hoá,40141,401,Xã Trạch Mỹ Lộc,1013121,10131
,,,Huyện Hoằng Hoá,40143,401,Xã Phúc Hòa,1013123,10131
,,,Huyện Đông Sơn,40145,401,Xã Phụng Thượng,1013125,10131
,,,Huyện Triệu Sơn,40147,401,Xã Tam Thuấn,1013127,10131
,,,Huyện Quảng Xương,40149,401,Xã Tam Hiệp ,1013129,10131
,,,Huyện Nông Cống,40151,401,Xã Hát Môn,1013131,10131
,,,Thị xã Nghi Sơn,40153,401,Thị trấn Phúc Thọ,1013133,10131
,,,Thành phố Vinh,40301,403,Xã Phương Độ,1013135,10131
,,,Thị xã Cửa Lò,40303,403,Xã Thọ Lộc,1013137,10131
,,,Huyện Quế Phong,40305,403,Xã Tích Giang,1013139,10131
,,,Huyện Quỳ Châu,40307,403,Xã Ngọc Tảo,1013141,10131
,,,Huyện Kỳ Sơn ,40309,403,Xã Hiệp Thuận,1013143,10131
,,,Huyện Quỳ Hợp,40311,403,Xã Liên Hiệp,1013145,10131
,,,Huyện Nghĩa Đàn,40313,403,Xã Xuân Đình,1013147,10131
,,,Thị xã Thái Hoà,40314,403,Xã Sen Phương,1013149,10131
,,,Huyện Tương Dương,40315,403,Xã Thọ An,1013301,10133
,,,Huyện Quỳnh Lưu,40317,403,Xã Phương Đình,1013303,10133
,,,Huyện Tân Kỳ,40319,403,Xã Hạ Mỗ,1013305,10133
,,,Huyện Con Cuông,40321,403,Xã Tân Hội,1013307,10133
,,,Huyện Yên THành,40323,403,Xã Song Phượng,1013309,10133
,,,Huyện Diễn Châu,40325,403,Thị trấn Phùng,1013311,10133
,,,Huyện Anh SƠn,40327,403,Xã Trung Châu,1013313,10133
,,,Huyện Đô Lương,40329,403,Xã Thọ Xuân,1013315,10133
,,,Huyện Thanh Chương,40331,403,Xã Hồng Hà,1013317,10133
,,,Huyện Nghi Lộc,40333,403,Xã Liên Hồng,1013319,10133
,,,Huyện Nam Đàn,40335,403,Xã Liên Hà ,1013321,10133
,,,Huyện Hưng Nguyên,40337,403,Xã Liên Trung,1013323,10133
,,,Thị xã Hoàng Mai,40339,403,Xã Thượng Mỗ,1013325,10133
,,,Thành phố Hà Tĩnh,40501,405,Xã Tân Lập,1013327,10133
,,,Thị xã Hồng Lĩnh,40503,405,Xã Đan Phượng,1013329,10133
,,,Huyện Nghi Xuân,40505,405,Xã Đồng Tháp,1013331,10133
,,,Huyện Đức Thọ,40507,405,Xã Phú Kim,1013501,10135
,,,Huyện Hương Sơn,40509,405,Xã Hữu Bằng,1013503,10135
,,,Huyện Can Lộc,40511,405,Xã Lại Thượng,1013505,10135
,,,Huyện Thạch Hà,40513,405,Xã Kim Quan,1013507,10135
,,,Huyện Cẩm Xuyên,40515,405,Xã Thạch Hoà,1013509,10135
,,,Huyện Hương Khê,40517,405,Xã Tân Xã,1013511,10135
,,,Huyện Kỳ Anh,40519,405,Xã Hạ Bằng,1013513,10135
,,,Thị xã Kỳ Anh,40520,405,Thị trấn Liên Quan,1013515,10135
,,,Huyện Vũ Quang,40521,405,Xã Đại Đồng,1013517,10135
,,,Huyện Lộc Hà,40523,405,Xã Cẩm Yên,1013519,10135
,,,Thành phố Đồng Hới,40701,407,Xã Hương Ngải,1013521,10135
,,,Huyện Tuyên Hoá,40703,407,Xã Canh Nậu,1013523,10135
,,,Huyện Minh Hoá,40705,407,Xã Dị Nậu,1013525,10135
,,,Huyện Quảng Trạch,40707,407,Xã Bình Yên,1013527,10135
,,,Huyện Bố Trạch,40709,407,Xã Chàng Sơn,1013529,10135
,,,Huyện Quảng Ninh,40711,407,Xã Cần Kiệm,1013531,10135
,,,Huyện Lệ Thuỷ,40713,407,Xã Phùng Xá,1013533,10135
,,,Thị Xã Ba Đồn,40715,407,Xã Thạch Xá,1013535,10135
,,,Thành phố Đông Hà,40901,409,Xã Bình Phú,1013537,10135
,,,Thị xã Quảng Trị,40903,409,Xã Đồng Trúc,1013539,10135
,,,Huyện Vĩnh Linh,40905,409,Xã Yên Bình,1013541,10135
